Year,Units,État des stocks,Région,Groupe de stocks,Value
2022,Nombre,Zone saine,Canada,Poissons de fond,17.0
2022,Nombre,Zone saine,Canada,Petits poissons pélagiques,2.0
2022,Nombre,Zone saine,Canada,Grands poissons pélagiques,1.0
2022,Nombre,Zone saine,Canada,Salmonidés,5.0
2022,Nombre,Zone saine,Canada,Crustacés,30.0
2022,Nombre,Zone saine,Canada,Mollusques,6.0
2022,Nombre,Zone saine,Canada,Autres,3.0
2021,Nombre,Zone saine,Canada,Mammifères marins,2.0
2021,Nombre,Zone saine,Canada,Poissons de fond,18.0
2021,Nombre,Zone saine,Canada,Petits poissons pélagiques,1.0
2021,Nombre,Zone saine,Canada,Grands poissons pélagiques,2.0
2021,Nombre,Zone saine,Canada,Salmonidés,5.0
2021,Nombre,Zone saine,Canada,Crustacés,29.0
2021,Nombre,Zone saine,Canada,Mollusques,6.0
2021,Nombre,Zone saine,Canada,Autres,6.0
2022,Nombre,Zone de prudence,Canada,Mammifères marins,0.0
2022,Nombre,Zone de prudence,Canada,Poissons de fond,8.0
2022,Nombre,Zone de prudence,Canada,Petits poissons pélagiques,5.0
2022,Nombre,Zone de prudence,Canada,Grands poissons pélagiques,0.0
2022,Nombre,Zone de prudence,Canada,Salmonidés,8.0
2022,Nombre,Zone de prudence,Canada,Crustacés,2.0
2022,Nombre,Zone de prudence,Canada,Mollusques,1.0
2022,Nombre,Zone de prudence,Canada,Autres,0.0
2021,Nombre,Zone de prudence,Canada,Mammifères marins,0.0
2021,Nombre,Zone de prudence,Canada,Poissons de fond,9.0
2021,Nombre,Zone de prudence,Canada,Petits poissons pélagiques,5.0
2021,Nombre,Zone de prudence,Canada,Grands poissons pélagiques,0.0
2021,Nombre,Zone de prudence,Canada,Salmonidés,9.0
2021,Nombre,Zone de prudence,Canada,Crustacés,3.0
2021,Nombre,Zone de prudence,Canada,Mollusques,1.0
2021,Nombre,Zone de prudence,Canada,Autres,0.0
2022,Nombre,Zone critique,Canada,Mammifères marins,0.0
2022,Nombre,Zone critique,Canada,Poissons de fond,11.0
2022,Nombre,Zone critique,Canada,Petits poissons pélagiques,4.0
2022,Nombre,Zone critique,Canada,Grands poissons pélagiques,0.0
2022,Nombre,Zone critique,Canada,Salmonidés,5.0
2022,Nombre,Zone critique,Canada,Crustacés,2.0
2022,Nombre,Zone critique,Canada,Mollusques,1.0
2022,Nombre,Zone critique,Canada,Autres,0.0
2021,Nombre,Zone critique,Canada,Mammifères marins,0.0
2021,Nombre,Zone critique,Canada,Poissons de fond,11.0
2021,Nombre,Zone critique,Canada,Petits poissons pélagiques,4.0
2021,Nombre,Zone critique,Canada,Grands poissons pélagiques,0.0
2021,Nombre,Zone critique,Canada,Salmonidés,4.0
2021,Nombre,Zone critique,Canada,Crustacés,2.0
