Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2019,Saskatchewan,Electric,47,29
2019,Saskatchewan,Propane,47,73
2021,Saskatchewan,Total electric charging and alternative fuelling stations,47,119
2021,Saskatchewan,Electric,47,46
2022,Saskatchewan,Total electric charging and alternative fuelling stations,47,154
2022,Saskatchewan,Electric,47,81
2023,Saskatchewan,Total electric charging and alternative fuelling stations,47,195
2023,Saskatchewan,Electric,47,122
2024,Saskatchewan,Total electric charging and alternative fuelling stations,47,230
2024,Saskatchewan,Electric,47,157
2025,Saskatchewan,Total electric charging and alternative fuelling stations,47,269
2025,Saskatchewan,Electric,47,196
2026,Saskatchewan,Total electric charging and alternative fuelling stations,47,282
2026,Saskatchewan,Electric,47,209
2019,Yukon,Total electric charging and alternative fuelling stations,60,4
2019,Yukon,Electric,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Total electric charging and alternative fuelling stations,60,7
2020,Yukon,Electric,60,5
2022,Yukon,Total electric charging and alternative fuelling stations,60,13
2022,Yukon,Electric,60,11
2023,Yukon,Total electric charging and alternative fuelling stations,60,24
2023,Yukon,Electric,60,22
2024,Yukon,Total electric charging and alternative fuelling stations,60,28
2024,Yukon,Electric,60,26
2025,Yukon,Total electric charging and alternative fuelling stations,60,36
2025,Yukon,Electric,60,34
2026,Yukon,Total electric charging and alternative fuelling stations,60,37
2026,Yukon,Electric,60,35
