Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2023,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,4.6
2023,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,,11.9
2023,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,5.1
2023,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,22.8
2023,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,10.3
2023,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,27.9
2015,Nouveau-Brunswick,Total,Les deux sexes,Total,13,16.2
2015,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,19.9
2015,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,16.6
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,11.2
2015,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,12.2
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,6.2
2015,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,19.9
2015,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,14.6
2015,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,11.2
2015,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,36.7
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,25.7
2015,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,41.6
2016,Nouveau-Brunswick,Total,Les deux sexes,Total,13,13.9
2016,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,16.4
2016,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,14.3
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,10.0
2016,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,9.6
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,3.9
2016,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,16.4
2016,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,11.9
2016,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,8.8
2016,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,35.3
2016,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,25.1
2016,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,40.4
2017,Nouveau-Brunswick,Total,Les deux sexes,Total,13,12.6
2017,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,15.5
2017,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,13.8
2017,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,6.6
2017,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,9.3
2017,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,3.3
2017,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,15.0
2017,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,7.1
2017,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,9.0
2017,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,28.8
2017,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,14.6
2017,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,36.4
2018,Nouveau-Brunswick,Total,Les deux sexes,Total,13,10.7
2018,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,11.5
2018,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,12.1
2018,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,5.9
2018,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,6.6
2018,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,2.1
2018,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,11.3
2018,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,5.9
2018,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,6.2
2018,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,30.3
2018,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,15.0
2018,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,38.6
2019,Nouveau-Brunswick,Total,Les deux sexes,Total,13,9.8
2019,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,12.0
2019,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,10.5
2019,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,6.2
2019,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,6.4
2019,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,10.8
2019,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,6.4
2019,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,25.4
2019,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,16.3
2019,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,31.4
2020,Nouveau-Brunswick,Total,Les deux sexes,Total,13,7.7
2020,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,5.9
2020,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,9.1
2020,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,5.3
2020,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,4.3
2020,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,5.5
2020,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,3.0
2020,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,5.0
2020,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,23.0
2020,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,15.4
2020,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,27.6
2021,Nouveau-Brunswick,Total,Les deux sexes,Total,13,6.7
2021,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,6.9
2021,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,7.1
2021,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,5.6
2021,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,3.5
2021,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,6.5
2021,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,3.4
2021,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,21.1
2021,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,16.9
2021,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,23.7
2022,Nouveau-Brunswick,Total,Les deux sexes,Total,13,10.8
2022,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,10.9
2022,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,11.6
2022,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,8.7
2022,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,7.0
2022,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,3.4
2022,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,10.6
2022,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,6.8
2022,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,13,13.7
2022,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,7.0
2022,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,27.7
2022,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,21.7
2022,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,31.0
2023,Nouveau-Brunswick,Total,Les deux sexes,Total,13,11.3
2023,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Total,13,14.2
2023,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Total,13,11.8
2023,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Total,13,7.5
2023,Nouveau-Brunswick,Total,Les deux sexes,Personnes dans les familles économiques,13,8.3
2023,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,13,2.9
2023,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,13,14.2
2023,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,13,9.2
2023,Nouveau-Brunswick,Moins de 18 ans,Les deux sexes,Personnes dans l'ensemble des autres familles économiques,13,14.1
2023,Nouveau-Brunswick,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,13,8.0
2023,Nouveau-Brunswick,Total,Les deux sexes,Personnes hors famille économique,13,24.6
2023,Nouveau-Brunswick,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,13,18.9
2023,Nouveau-Brunswick,,Les deux sexes,Personnes non âgées hors famille économique,13,27.9
2015,Terre-Neuve-et-Labrador,Total,Les deux sexes,Total,10,13.0
2015,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Total,10,15.2
2015,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Total,10,13.7
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Total,10,8.8
2015,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes dans les familles économiques,10,8.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,10,3.7
2015,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,10,15.2
2015,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,10,9.0
2015,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,10,8.1
2015,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes hors famille économique,10,39.2
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,10,24.6
2015,Terre-Neuve-et-Labrador,,Les deux sexes,Personnes non âgées hors famille économique,10,46.0
2016,Terre-Neuve-et-Labrador,Total,Les deux sexes,Total,10,12.2
2016,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Total,10,13.0
2016,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Total,10,13.3
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Total,10,8.0
2016,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes dans les familles économiques,10,9.2
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,10,5.4
2016,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,10,13.0
2016,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,10,9.0
2016,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes hors famille économique,10,30.9
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,10,16.9
2016,Terre-Neuve-et-Labrador,,Les deux sexes,Personnes non âgées hors famille économique,10,37.3
2017,Terre-Neuve-et-Labrador,Total,Les deux sexes,Total,10,11.3
2017,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Total,10,11.5
2017,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Total,10,12.6
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Total,10,6.9
2017,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes dans les familles économiques,10,6.8
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,10,3.8
2017,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,10,10.7
2017,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,10,6.5
2017,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes hors famille économique,10,37.5
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,10,17.4
2017,Terre-Neuve-et-Labrador,,Les deux sexes,Personnes non âgées hors famille économique,10,46.5
2018,Terre-Neuve-et-Labrador,Total,Les deux sexes,Total,10,11.9
2018,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Total,10,12.3
2018,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Total,10,14.2
2018,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Total,10,4.5
2018,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes dans les familles économiques,10,8.8
2018,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,10,2.6
2018,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,10,12.3
2018,Terre-Neuve-et-Labrador,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,10,4.9
2018,Terre-Neuve-et-Labrador,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,10,9.5
2018,Terre-Neuve-et-Labrador,Total,Les deux sexes,Personnes hors famille économique,10,28.8
