Year,Geography,Age group,Gender,Economic family type,GeoCode,Value
2021,Canada,Total,All genders,Persons in economic families,,4.6
2021,Canada,Total,Man+,Persons in economic families,,4.2
2021,Canada,Total,Woman+,Persons in economic families,,4.9
2021,Canada,65 years and over,All genders,Seniors in economic families,,2.4
2021,Canada,65 years and over,Man+,Seniors in economic families,,2.4
2021,Canada,65 years and over,Woman+,Seniors in economic families,,2.4
2021,Canada,Under 18 years,All genders,Persons in economic families,,6.3
2021,Canada,Under 18 years,All genders,Persons in couple families with children,,4.3
2021,Canada,Under 18 years,All genders,Persons in all other economic families,,10.4
2021,Canada,18 to 64 years,All genders,Persons in economic families,,4.5
2021,Canada,18 to 64 years,Man+,Persons in economic families,,4.0
2021,Canada,18 to 64 years,Woman+,Persons in economic families,,4.9
2021,Canada,Total,All genders,Persons not in an economic family,,22.0
2021,Canada,Total,Man+,Persons not in an economic family,,21.7
2021,Canada,Total,Woman+,Persons not in an economic family,,22.4
2021,Canada,65 years and over,All genders,Seniors not in an economic family,,13.0
2021,Canada,65 years and over,Man+,Seniors not in an economic family,,13.3
2021,Canada,65 years and over,Woman+,Seniors not in an economic family,,12.8
2021,Canada,,All genders,Non-seniors not in an economic family,,26.3
2021,Canada,,Man+,Non-seniors not in an economic family,,24.2
2021,Canada,,Woman+,Non-seniors not in an economic family,,29.0
2022,Canada,Under 18 years,All genders,Total,,10.3
2022,Canada,18 to 64 years,All genders,Total,,11.4
2022,Canada,65 years and over,All genders,Total,,6.4
2022,Canada,Total,Man+,Total,,10.2
2022,Canada,Under 18 years,Man+,Total,,10.2
2022,Canada,18 to 64 years,Man+,Total,,11.3
2022,Canada,65 years and over,Man+,Total,,6.1
2022,Canada,Total,Woman+,Total,,10.3
2022,Canada,Under 18 years,Woman+,Total,,10.3
2022,Canada,18 to 64 years,Woman+,Total,,11.5
2022,Canada,65 years and over,Woman+,Total,,6.6
2022,Canada,Total,All genders,Persons in economic families,,6.9
2022,Canada,Total,Man+,Persons in economic families,,6.6
2022,Canada,Total,Woman+,Persons in economic families,,7.2
2022,Canada,65 years and over,All genders,Seniors in economic families,,3.3
2022,Canada,65 years and over,Man+,Seniors in economic families,,3.4
2022,Canada,65 years and over,Woman+,Seniors in economic families,,3.3
2022,Canada,Under 18 years,All genders,Persons in economic families,,10.1
2022,Canada,Under 18 years,All genders,Persons in couple families with children,,7.1
2022,Canada,Under 18 years,All genders,Persons in all other economic families,,13.0
2022,Canada,18 to 64 years,All genders,Persons in economic families,,6.6
2022,Canada,18 to 64 years,Man+,Persons in economic families,,6.0
2022,Canada,18 to 64 years,Woman+,Persons in economic families,,7.1
2022,Canada,Total,All genders,Persons not in an economic family,,26.1
2022,Canada,Total,Man+,Persons not in an economic family,,27.4
2022,Canada,Total,Woman+,Persons not in an economic family,,24.7
2022,Canada,65 years and over,All genders,Seniors not in an economic family,,13.8
2022,Canada,65 years and over,Man+,Seniors not in an economic family,,15.8
2022,Canada,65 years and over,Woman+,Seniors not in an economic family,,12.7
2022,Canada,,All genders,Non-seniors not in an economic family,,31.6
2022,Canada,,Man+,Non-seniors not in an economic family,,30.8
2022,Canada,,Woman+,Non-seniors not in an economic family,,32.7
2023,Canada,Under 18 years,All genders,Total,,10.9
2023,Canada,18 to 64 years,All genders,Total,,11.8
2023,Canada,65 years and over,All genders,Total,,5.4
2023,Canada,Total,Man+,Total,,10.4
2023,Canada,Under 18 years,Man+,Total,,11.2
2023,Canada,18 to 64 years,Man+,Total,,11.6
2023,Canada,65 years and over,Man+,Total,,5.3
2023,Canada,Total,Woman+,Total,,10.4
2023,Canada,Under 18 years,Woman+,Total,,10.7
2023,Canada,18 to 64 years,Woman+,Total,,12.0
2023,Canada,65 years and over,Woman+,Total,,5.5
2023,Canada,Total,All genders,Persons in economic families,,7.2
2023,Canada,Total,Man+,Persons in economic families,,7.0
2023,Canada,Total,Woman+,Persons in economic families,,7.4
2023,Canada,65 years and over,All genders,Seniors in economic families,,2.8
2023,Canada,65 years and over,Man+,Seniors in economic families,,3.0
2023,Canada,65 years and over,Woman+,Seniors in economic families,,2.6
2023,Canada,Under 18 years,All genders,Persons in economic families,,10.8
2023,Canada,Under 18 years,All genders,Persons in couple families with children,,7.9
2023,Canada,Under 18 years,All genders,Persons in all other economic families,,11.6
2023,Canada,18 to 64 years,All genders,Persons in economic families,,7.0
2023,Canada,18 to 64 years,Man+,Persons in economic families,,6.5
2023,Canada,18 to 64 years,Woman+,Persons in economic families,,7.5
2023,Canada,Total,All genders,Persons not in an economic family,,25.4
2023,Canada,Total,Man+,Persons not in an economic family,,26.4
2023,Canada,Total,Woman+,Persons not in an economic family,,24.5
2023,Canada,65 years and over,All genders,Seniors not in an economic family,,11.6
2023,Canada,65 years and over,Man+,Seniors not in an economic family,,13.2
2023,Canada,65 years and over,Woman+,Seniors not in an economic family,,10.7
2023,Canada,,All genders,Non-seniors not in an economic family,,31.7
2023,Canada,,Man+,Non-seniors not in an economic family,,30.1
2023,Canada,,Woman+,Non-seniors not in an economic family,,33.7
2015,"Edmonton, Alberta",Total,All genders,Total,,7.6
2015,"Edmonton, Alberta",Under 18 years,All genders,Total,,10.2
2015,"Edmonton, Alberta",18 to 64 years,All genders,Total,,7.6
2015,"Edmonton, Alberta",Total,Man+,Total,,7.4
2015,"Edmonton, Alberta",18 to 64 years,Man+,Total,,8.2
2015,"Edmonton, Alberta",Total,Woman+,Total,,7.9
2015,"Edmonton, Alberta",18 to 64 years,Woman+,Total,,7.0
2015,"Edmonton, Alberta",Total,All genders,Persons in economic families,,5.7
2015,"Edmonton, Alberta",Total,Man+,Persons in economic families,,4.2
2015,"Edmonton, Alberta",Total,Woman+,Persons in economic families,,7.3
2015,"Edmonton, Alberta",Under 18 years,All genders,Persons in economic families,,9.9
2015,"Edmonton, Alberta",18 to 64 years,All genders,Persons in economic families,,4.9
2015,"Edmonton, Alberta",18 to 64 years,Woman+,Persons in economic families,,5.8
2015,"Edmonton, Alberta",Total,All genders,Persons not in an economic family,,18.8
2015,"Edmonton, Alberta",Total,Man+,Persons not in an economic family,,25.1
2015,"Edmonton, Alberta",,All genders,Non-seniors not in an economic family,,20.5
2015,"Edmonton, Alberta",,Man+,Non-seniors not in an economic family,,26.2
2016,"Edmonton, Alberta",Total,All genders,Total,,8.5
2016,"Edmonton, Alberta",Under 18 years,All genders,Total,,8.0
2016,"Edmonton, Alberta",18 to 64 years,All genders,Total,,9.7
2016,"Edmonton, Alberta",Total,Man+,Total,,8.6
2016,"Edmonton, Alberta",18 to 64 years,Man+,Total,,9.6
2016,"Edmonton, Alberta",Total,Woman+,Total,,8.4
2016,"Edmonton, Alberta",18 to 64 years,Woman+,Total,,9.7
2016,"Edmonton, Alberta",Total,All genders,Persons in economic families,,6.4
2016,"Edmonton, Alberta",Total,Man+,Persons in economic families,,6.4
2016,"Edmonton, Alberta",Total,Woman+,Persons in economic families,,6.3
2016,"Edmonton, Alberta",Under 18 years,All genders,Persons in economic families,,8.0
2016,"Edmonton, Alberta",Under 18 years,All genders,Persons in couple families with children,,7.6
2016,"Edmonton, Alberta",18 to 64 years,All genders,Persons in economic families,,6.6
2016,"Edmonton, Alberta",18 to 64 years,Man+,Persons in economic families,,6.6
2016,"Edmonton, Alberta",18 to 64 years,Woman+,Persons in economic families,,6.5
2016,"Edmonton, Alberta",Total,All genders,Persons not in an economic family,,25.3
2016,"Edmonton, Alberta",Total,Man+,Persons not in an economic family,,23.0
2016,"Edmonton, Alberta",Total,Woman+,Persons not in an economic family,,28.3
2016,"Edmonton, Alberta",,All genders,Non-seniors not in an economic family,,28.6
2016,"Edmonton, Alberta",,Man+,Non-seniors not in an economic family,,24.3
2016,"Edmonton, Alberta",,Woman+,Non-seniors not in an economic family,,35.7
2017,"Edmonton, Alberta",Total,All genders,Total,,9.7
2017,"Edmonton, Alberta",Under 18 years,All genders,Total,,8.3
2017,"Edmonton, Alberta",18 to 64 years,All genders,Total,,11.1
2017,"Edmonton, Alberta",65 years and over,All genders,Total,,4.4
2017,"Edmonton, Alberta",Total,Man+,Total,,8.2
2017,"Edmonton, Alberta",18 to 64 years,Man+,Total,,9.0
2017,"Edmonton, Alberta",Total,Woman+,Total,,11.2
2017,"Edmonton, Alberta",18 to 64 years,Woman+,Total,,13.1
2017,"Edmonton, Alberta",Total,All genders,Persons in economic families,,6.4
2017,"Edmonton, Alberta",Total,Man+,Persons in economic families,,6.1
2017,"Edmonton, Alberta",Total,Woman+,Persons in economic families,,6.8
2017,"Edmonton, Alberta",Under 18 years,All genders,Persons in economic families,,8.3
