Year,Geography,Product category,GeoCode,Value
2016,Quebec,Electrical and electronic equipment,24,0.99
2016,Quebec,Packaging,24,1.35
2016,Quebec,Agriculture film,24,1.21
2016,Quebec,Textiles,24,1.09
2016,Quebec,Transportation vehicles,24,1.23
2016,Quebec,Other products,24,1.83
2016,Ontario,"Total, all product categories",35,1.41
2016,Ontario,Construction materials,35,1.17
2016,Ontario,Electrical and electronic equipment,35,1.0
2016,Ontario,Packaging,35,1.35
2016,Ontario,Agriculture film,35,1.2
2016,Ontario,Textiles,35,1.09
2016,Ontario,Transportation vehicles,35,1.25
2016,Ontario,Other products,35,1.82
2016,Manitoba,"Total, all product categories",46,1.41
2016,Manitoba,Construction materials,46,1.17
2016,Manitoba,Electrical and electronic equipment,46,0.98
2016,Manitoba,Packaging,46,1.35
2016,Manitoba,Agriculture film,46,1.21
2016,Manitoba,Textiles,46,1.1
2016,Manitoba,Transportation vehicles,46,1.24
2016,Manitoba,Other products,46,1.84
2016,Saskatchewan,"Total, all product categories",47,1.39
2016,Saskatchewan,Construction materials,47,1.17
2016,Saskatchewan,Electrical and electronic equipment,47,1.0
2016,Saskatchewan,Packaging,47,1.35
2016,Saskatchewan,Agriculture film,47,1.2
2016,Saskatchewan,Textiles,47,1.09
2016,Saskatchewan,Transportation vehicles,47,1.24
2016,Saskatchewan,Other products,47,1.77
2016,Alberta,"Total, all product categories",48,1.43
2016,Alberta,Construction materials,48,1.17
2016,Alberta,Electrical and electronic equipment,48,1.04
2016,Alberta,Packaging,48,1.35
2016,Alberta,Agriculture film,48,1.2
2016,Alberta,Textiles,48,1.09
2016,Alberta,Transportation vehicles,48,1.24
2016,Alberta,Other products,48,1.8
2016,British Columbia,"Total, all product categories",59,1.41
2016,British Columbia,Construction materials,59,1.17
2016,British Columbia,Electrical and electronic equipment,59,0.97
2016,British Columbia,Packaging,59,1.35
2016,British Columbia,Agriculture film,59,1.2
2016,British Columbia,Textiles,59,1.09
2016,British Columbia,Transportation vehicles,59,1.24
2016,British Columbia,Other products,59,1.81
2016,Yukon,"Total, all product categories",60,2.09
2016,Yukon,Construction materials,60,1.26
2016,Yukon,Electrical and electronic equipment,60,1.07
2016,Yukon,Packaging,60,1.36
2016,Yukon,Agriculture film,60,0.0
2016,Yukon,Textiles,60,1.19
2016,Yukon,Transportation vehicles,60,5.56
2016,Yukon,Other products,60,1.82
2016,Northwest Territories,"Total, all product categories",61,1.95
2016,Northwest Territories,Construction materials,61,1.27
2016,Northwest Territories,Electrical and electronic equipment,61,1.06
2016,Northwest Territories,Packaging,61,1.36
2016,Northwest Territories,Agriculture film,61,0.0
2016,Northwest Territories,Textiles,61,0.95
2016,Northwest Territories,Transportation vehicles,61,4.72
2016,Northwest Territories,Other products,61,1.68
2016,Nunavut,"Total, all product categories",62,1.95
2016,Nunavut,Construction materials,62,1.03
2016,Nunavut,Electrical and electronic equipment,62,1.1
2016,Nunavut,Packaging,62,1.36
2016,Nunavut,Textiles,62,0.73
2016,Nunavut,Transportation vehicles,62,4.91
2016,Nunavut,Other products,62,1.66
2016,Canadian territorial enclaves abroad,"Total, all product categories",,6.34
2016,Canadian territorial enclaves abroad,Construction materials,,5.56
2016,Canadian territorial enclaves abroad,Electrical and electronic equipment,,6.73
2016,Canadian territorial enclaves abroad,Packaging,,6.32
2016,Canadian territorial enclaves abroad,Textiles,,6.44
2016,Canadian territorial enclaves abroad,Transportation vehicles,,7.14
2016,Canadian territorial enclaves abroad,Other products,,6.39
2017,Canada,Construction materials,,1.17
2017,Canada,Electrical and electronic equipment,,1.0
2017,Canada,Electronics,,1.06
2017,Canada,Major appliances,,0.3
2017,Canada,Other electrical and electronic equipment,,1.06
2017,Canada,Packaging,,1.35
2017,Canada,Bottles,,1.36
2017,Canada,Film,,1.35
2017,Canada,Non-bottle rigid,,1.35
2017,Canada,Other packaging products,,1.35
2017,Canada,Agriculture film,,1.2
2017,Canada,Textiles,,1.09
2017,Canada,Transportation vehicles,,1.35
2017,Canada,Light-duty vehicles,,1.43
2017,Canada,Other transportation vehicles,,1.26
2017,Canada,Other products,,1.82
2017,Newfoundland and Labrador,"Total, all product categories",10,2.56
2017,Newfoundland and Labrador,Construction materials,10,1.17
2017,Newfoundland and Labrador,Electrical and electronic equipment,10,0.97
2017,Newfoundland and Labrador,Packaging,10,1.35
2017,Newfoundland and Labrador,Agriculture film,10,1.39
2017,Newfoundland and Labrador,Textiles,10,1.1
2017,Newfoundland and Labrador,Transportation vehicles,10,7.18
2017,Newfoundland and Labrador,Other products,10,1.79
2017,Prince Edward Island,"Total, all product categories",11,1.37
2017,Prince Edward Island,Construction materials,11,1.3
2017,Prince Edward Island,Electrical and electronic equipment,11,1.0
2017,Prince Edward Island,Packaging,11,1.35
