Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2025,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,205
2025,Île-du-Prince-Édouard,Électrique,11,203
2026,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,208
2026,Île-du-Prince-Édouard,Électrique,11,206
2010,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,9
2010,Québec,Électrique,24,2
2012,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,15
2012,Québec,Électrique,24,8
2013,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,32
2013,Québec,Gaz naturel comprimé,24,2
2013,Québec,Électrique,24,23
2014,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,65
2014,Québec,Électrique,24,55
2014,Québec,Propane,24,8
2015,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,152
2015,Québec,Gaz naturel comprimé,24,3
2015,Québec,Électrique,24,134
2015,Québec,Propane,24,15
2016,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,242
2016,Québec,Électrique,24,223
2016,Québec,Propane,24,16
2017,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,425
2017,Québec,Gaz naturel comprimé,24,4
2017,Québec,Électrique,24,283
2017,Québec,Propane,24,138
2018,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,457
2018,Québec,Gaz naturel comprimé,24,5
2018,Québec,Électrique,24,309
2018,Québec,Hydrogène,24,1
2018,Québec,Propane,24,142
2019,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,1836
2019,Québec,Gaz naturel comprimé,24,7
2019,Québec,Électrique,24,1682
2019,Québec,Propane,24,146
2020,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2170
2020,Québec,Électrique,24,2016
2021,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2517
2021,Québec,Électrique,24,2361
2021,Québec,Propane,24,148
2022,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,3017
2022,Québec,Gaz naturel comprimé,24,8
2022,Québec,Électrique,24,2860
2023,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,3739
2023,Québec,Gaz naturel comprimé,24,9
2023,Québec,Électrique,24,3580
2023,Québec,Propane,24,149
2024,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4412
2024,Québec,Électrique,24,4252
2024,Québec,Propane,24,150
2025,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,5098
2025,Québec,Gaz naturel comprimé,24,10
2025,Québec,Électrique,24,4936
2025,Québec,Propane,24,151
2026,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,5381
2026,Québec,Électrique,24,5219
2014,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,8
2014,Saskatchewan,Électrique,47,3
2014,Saskatchewan,Propane,47,5
2015,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,16
2015,Saskatchewan,Électrique,47,10
2015,Saskatchewan,Propane,47,6
2016,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,20
2016,Saskatchewan,Électrique,47,14
2017,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,24
2017,Saskatchewan,Électrique,47,18
2018,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,90
2018,Saskatchewan,Électrique,47,19
2018,Saskatchewan,Propane,47,71
2019,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,102
2019,Saskatchewan,Électrique,47,29
2019,Saskatchewan,Propane,47,73
2021,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,119
2021,Saskatchewan,Électrique,47,46
2022,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,155
2022,Saskatchewan,Électrique,47,82
2023,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,196
2023,Saskatchewan,Électrique,47,123
2024,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,232
2024,Saskatchewan,Électrique,47,159
2025,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,270
2025,Saskatchewan,Électrique,47,197
2026,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,283
2026,Saskatchewan,Électrique,47,210
2019,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,4
2019,Yukon,Électrique,60,2
2019,Yukon,Propane,60,2
2020,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,7
2020,Yukon,Électrique,60,5
2022,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,13
2022,Yukon,Électrique,60,11
2023,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,24
2023,Yukon,Électrique,60,22
2024,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,28
2024,Yukon,Électrique,60,26
2025,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,36
2025,Yukon,Électrique,60,34
2026,Yukon,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,60,37
2026,Yukon,Électrique,60,35
