Year,data.Geography,data.Industry,Value
2018,data.Quebec,"data.Professional, scientific and technical services [BS540]",4.331775
2019,data.Quebec,"data.Professional, scientific and technical services [BS540]",4.7377272
2015,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",4.6117037
2016,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",4.7563973
2017,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",4.6897879
2018,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",4.5326474
2019,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",4.3449815
2015,data.Quebec,data.Other industries,0.336545
2016,data.Quebec,data.Other industries,0.318089
2017,data.Quebec,data.Other industries,0.313824
2018,data.Quebec,data.Other industries,0.3354942
2019,data.Quebec,data.Other industries,0.3377376
2015,data.Ontario,"data.Total, all industries",1.7188971
2016,data.Ontario,"data.Total, all industries",1.6570702
2017,data.Ontario,"data.Total, all industries",1.6729579
2018,data.Ontario,"data.Total, all industries",1.6890291
2019,data.Ontario,"data.Total, all industries",1.7616068
2015,data.Ontario,data.Utilities [BS220],64.0287611
2016,data.Ontario,data.Utilities [BS220],65.0615302
2017,data.Ontario,data.Utilities [BS220],68.6552297
2018,data.Ontario,data.Utilities [BS220],70.1803468
2019,data.Ontario,data.Utilities [BS220],72.8840436
2015,data.Ontario,data.Engineering construction [BS23C],5.0240516
2016,data.Ontario,data.Engineering construction [BS23C],3.9561424
2017,data.Ontario,data.Engineering construction [BS23C],3.7540255
2018,data.Ontario,data.Engineering construction [BS23C],3.1288502
2019,data.Ontario,data.Engineering construction [BS23C],3.1657638
2015,data.Ontario,data.Manufacturing [BS3A0],2.1826994
2016,data.Ontario,data.Manufacturing [BS3A0],1.569433
2017,data.Ontario,data.Manufacturing [BS3A0],2.1113293
2018,data.Ontario,data.Manufacturing [BS3A0],2.0828812
2019,data.Ontario,data.Manufacturing [BS3A0],2.1589009
2015,data.Ontario,"data.Professional, scientific and technical services [BS540]",3.2161993
2016,data.Ontario,"data.Professional, scientific and technical services [BS540]",3.4678651
2017,data.Ontario,"data.Professional, scientific and technical services [BS540]",3.0884284
2018,data.Ontario,"data.Professional, scientific and technical services [BS540]",3.5511656
2019,data.Ontario,"data.Professional, scientific and technical services [BS540]",3.684036
2015,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",3.0925943
2016,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",3.4785841
2017,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",3.5152703
2018,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",3.8495795
2019,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",3.8909572
2015,data.Ontario,data.Other industries,0.4857034
2016,data.Ontario,data.Other industries,0.5019584
2017,data.Ontario,data.Other industries,0.5016791
2018,data.Ontario,data.Other industries,0.5259388
2019,data.Ontario,data.Other industries,0.5392758
2015,data.Manitoba,"data.Total, all industries",2.3479038
2016,data.Manitoba,"data.Total, all industries",2.5333623
2017,data.Manitoba,"data.Total, all industries",2.7356823
2018,data.Manitoba,"data.Total, all industries",2.5758331
2019,data.Manitoba,"data.Total, all industries",2.5046346
2015,data.Manitoba,data.Utilities [BS220],79.0079365
2016,data.Manitoba,data.Utilities [BS220],79.962963
2017,data.Manitoba,data.Utilities [BS220],77.1616541
2018,data.Manitoba,data.Utilities [BS220],81.4880952
2019,data.Manitoba,data.Utilities [BS220],76.9398907
2015,data.Manitoba,data.Engineering construction [BS23C],15.056287
2016,data.Manitoba,data.Engineering construction [BS23C],16.1515588
2017,data.Manitoba,data.Engineering construction [BS23C],18.3908918
2018,data.Manitoba,data.Engineering construction [BS23C],14.9806523
2019,data.Manitoba,data.Engineering construction [BS23C],13.738378
2015,data.Manitoba,data.Manufacturing [BS3A0],1.2280102
2016,data.Manitoba,data.Manufacturing [BS3A0],1.571013
2017,data.Manitoba,data.Manufacturing [BS3A0],2.0183486
2018,data.Manitoba,data.Manufacturing [BS3A0],1.8842018
2019,data.Manitoba,data.Manufacturing [BS3A0],1.9152176
2015,data.Manitoba,"data.Professional, scientific and technical services [BS540]",3.1254133
2016,data.Manitoba,"data.Professional, scientific and technical services [BS540]",3.3235046
2017,data.Manitoba,"data.Professional, scientific and technical services [BS540]",4.1332788
2018,data.Manitoba,"data.Professional, scientific and technical services [BS540]",4.1803113
2019,data.Manitoba,"data.Professional, scientific and technical services [BS540]",4.4273884
2015,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",3.1601942
2016,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",3.7050523
2017,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",3.0046551
2018,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",5.1277857
2019,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",5.5002042
2015,data.Manitoba,data.Other industries,0.3310094
2016,data.Manitoba,data.Other industries,0.3330086
2017,data.Manitoba,data.Other industries,0.3540929
2018,data.Manitoba,data.Other industries,0.3727579
2019,data.Manitoba,data.Other industries,0.3685699
2015,data.Saskatchewan,"data.Total, all industries",1.2674212
2016,data.Saskatchewan,"data.Total, all industries",1.1534857
2017,data.Saskatchewan,"data.Total, all industries",1.2383922
2018,data.Saskatchewan,"data.Total, all industries",1.1297212
2019,data.Saskatchewan,"data.Total, all industries",1.133806
2015,data.Saskatchewan,data.Utilities [BS220],11.9025522
2016,data.Saskatchewan,data.Utilities [BS220],11.2529002
2017,data.Saskatchewan,data.Utilities [BS220],12.1799308
2018,data.Saskatchewan,data.Utilities [BS220],12.5199544
2019,data.Saskatchewan,data.Utilities [BS220],12.2947368
2015,data.Saskatchewan,data.Engineering construction [BS23C],3.00087
2016,data.Saskatchewan,data.Engineering construction [BS23C],2.2534974
2017,data.Saskatchewan,data.Engineering construction [BS23C],2.0100332
2018,data.Saskatchewan,data.Engineering construction [BS23C],1.7798471
2019,data.Saskatchewan,data.Engineering construction [BS23C],2.191021
2015,data.Saskatchewan,data.Manufacturing [BS3A0],3.4039523
