"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2023,"Nova Scotia","Total","Both sexes","Persons in economic families",12,9.5
2023,"Nova Scotia","65 years and over","Both sexes","Seniors in economic families",12,3.6
2023,"Nova Scotia","Under 18 years","Both sexes","Persons in economic families",12,16
2023,"Nova Scotia","Under 18 years","Both sexes","Persons in couple families with children",12,11.9
2023,"Nova Scotia","Under 18 years","Both sexes","Persons in all other economic families",12,20.1
2023,"Nova Scotia","18 to 64 years","Both sexes","Persons in economic families",12,9
2023,"Nova Scotia","Total","Both sexes","Persons not in an economic family",12,31.1
2023,"Nova Scotia","65 years and over","Both sexes","Seniors not in an economic family",12,22.2
2023,"Nova Scotia","","Both sexes","Non-seniors not in an economic family",12,35.6
2018,"Nunavut","Total","Both sexes","Total",62,42.4
2018,"Nunavut","Under 18 years","Both sexes","Total",62,53.5
2018,"Nunavut","18 to 64 years","Both sexes","Total",62,35.1
2018,"Nunavut","65 years and over","Both sexes","Total",62,44.6
2018,"Nunavut","Total","Both sexes","Persons in economic families",62,43.4
2018,"Nunavut","65 years and over","Both sexes","Seniors in economic families",62,47.9
2018,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,53.5
2018,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,54.3
2018,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,35.7
2018,"Nunavut","Total","Both sexes","Persons not in an economic family",62,31.9
2018,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,31.2
2019,"Nunavut","Total","Both sexes","Total",62,37.1
2019,"Nunavut","Under 18 years","Both sexes","Total",62,43.4
2019,"Nunavut","18 to 64 years","Both sexes","Total",62,33.8
2019,"Nunavut","65 years and over","Both sexes","Total",62,26.5
2019,"Nunavut","Total","Both sexes","Persons in economic families",62,36.4
2019,"Nunavut","65 years and over","Both sexes","Seniors in economic families",62,29.6
2019,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,43.4
2019,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,44.7
2019,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,31.6
2019,"Nunavut","Total","Both sexes","Persons not in an economic family",62,43.9
2019,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,46.7
2020,"Nunavut","Total","Both sexes","Total",62,30.8
2020,"Nunavut","Under 18 years","Both sexes","Total",62,38.3
2020,"Nunavut","18 to 64 years","Both sexes","Total",62,26.9
2020,"Nunavut","Total","Both sexes","Persons in economic families",62,30.1
2020,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,38
2020,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,37.5
2020,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,24.9
2020,"Nunavut","Total","Both sexes","Persons not in an economic family",62,37.7
2020,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,39.8
2021,"Nunavut","Total","Both sexes","Total",62,30.4
2021,"Nunavut","Under 18 years","Both sexes","Total",62,36.3
2021,"Nunavut","18 to 64 years","Both sexes","Total",62,27.4
2021,"Nunavut","Total","Both sexes","Persons in economic families",62,29.2
2021,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,35.9
2021,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,28.2
2021,"Nunavut","Under 18 years","Both sexes","Persons in all other economic families",62,51.9
2021,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,24.8
2021,"Nunavut","Total","Both sexes","Persons not in an economic family",62,42.2
2021,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,47.2
2022,"Nunavut","Total","Both sexes","Total",62,34.5
2022,"Nunavut","Under 18 years","Both sexes","Total",62,42.4
2022,"Nunavut","18 to 64 years","Both sexes","Total",62,29.8
2022,"Nunavut","65 years and over","Both sexes","Total",62,34.7
2022,"Nunavut","Total","Both sexes","Persons in economic families",62,33.8
2022,"Nunavut","65 years and over","Both sexes","Seniors in economic families",62,32.5
2022,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,42.2
2022,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,41.6
2022,"Nunavut","Under 18 years","Both sexes","Persons in all other economic families",62,50.5
2022,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,28
2022,"Nunavut","Total","Both sexes","Persons not in an economic family",62,41.6
2022,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,41.3
2023,"Nunavut","Total","Both sexes","Total",62,32.6
2023,"Nunavut","Under 18 years","Both sexes","Total",62,39.9
2023,"Nunavut","18 to 64 years","Both sexes","Total",62,28.2
2023,"Nunavut","65 years and over","Both sexes","Total",62,30.5
2023,"Nunavut","Total","Both sexes","Persons in economic families",62,32.5
2023,"Nunavut","65 years and over","Both sexes","Seniors in economic families",62,23.7
2023,"Nunavut","Under 18 years","Both sexes","Persons in economic families",62,39.9
2023,"Nunavut","Under 18 years","Both sexes","Persons in couple families with children",62,42.4
2023,"Nunavut","18 to 64 years","Both sexes","Persons in economic families",62,27.7
2023,"Nunavut","Total","Both sexes","Persons not in an economic family",62,34.1
2023,"Nunavut","","Both sexes","Non-seniors not in an economic family",62,31.6
2015,"Ontario","Total","Both sexes","Total",35,15.1
2015,"Ontario","Under 18 years","Both sexes","Total",35,18
2015,"Ontario","18 to 64 years","Both sexes","Total",35,16.4
2015,"Ontario","65 years and over","Both sexes","Total",35,6.1
2015,"Ontario","Total","Both sexes","Persons in economic families",35,11.9
2015,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,2.9
2015,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,18
2015,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,15
2015,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,14.5
2015,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,11.5
2015,"Ontario","Total","Both sexes","Persons not in an economic family",35,33.9
2015,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,14.9
2015,"Ontario","","Both sexes","Non-seniors not in an economic family",35,41.3
2016,"Ontario","Total","Both sexes","Total",35,13.7
2016,"Ontario","Under 18 years","Both sexes","Total",35,15.2
2016,"Ontario","18 to 64 years","Both sexes","Total",35,15
2016,"Ontario","65 years and over","Both sexes","Total",35,6.7
2016,"Ontario","Total","Both sexes","Persons in economic families",35,10.4
2016,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,3.7
2016,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,15.1
2016,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,11.1
2016,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,17
2016,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,10.2
2016,"Ontario","Total","Both sexes","Persons not in an economic family",35,32.2
2016,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,14.8
2016,"Ontario","","Both sexes","Non-seniors not in an economic family",35,39.2
2017,"Ontario","Total","Both sexes","Total",35,12.3
2017,"Ontario","Under 18 years","Both sexes","Total",35,12.2
2017,"Ontario","18 to 64 years","Both sexes","Total",35,14.1
2017,"Ontario","65 years and over","Both sexes","Total",35,5.6
2017,"Ontario","Total","Both sexes","Persons in economic families",35,9
2017,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,2.8
2017,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,12.1
2017,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,9.2
2017,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,13.2
2017,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,9.3
2017,"Ontario","Total","Both sexes","Persons not in an economic family",35,30.8
2017,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,13
2017,"Ontario","","Both sexes","Non-seniors not in an economic family",35,38.2
2018,"Ontario","Total","Both sexes","Total",35,11.6
2018,"Ontario","Under 18 years","Both sexes","Total",35,11.6
2018,"Ontario","18 to 64 years","Both sexes","Total",35,13.2
2018,"Ontario","65 years and over","Both sexes","Total",35,5.7
2018,"Ontario","Total","Both sexes","Persons in economic families",35,8.2
2018,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,2.7
2018,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,11.3
2018,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,8
2018,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,13.1
2018,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,8.2
2018,"Ontario","Total","Both sexes","Persons not in an economic family",35,30.7
2018,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,12.8
2018,"Ontario","","Both sexes","Non-seniors not in an economic family",35,38.9
2019,"Ontario","Total","Both sexes","Total",35,10.9
2019,"Ontario","Under 18 years","Both sexes","Total",35,11.2
2019,"Ontario","18 to 64 years","Both sexes","Total",35,12.1
2019,"Ontario","65 years and over","Both sexes","Total",35,6.1
2019,"Ontario","Total","Both sexes","Persons in economic families",35,7.9
2019,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,3.6
2019,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,11.2
2019,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,8.6
2019,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,11.5
2019,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,7.7
2019,"Ontario","Total","Both sexes","Persons not in an economic family",35,27.2
2019,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,12.1
2019,"Ontario","","Both sexes","Non-seniors not in an economic family",35,34.4
2020,"Ontario","Total","Both sexes","Total",35,6.9
2020,"Ontario","Under 18 years","Both sexes","Total",35,5.6
2020,"Ontario","18 to 64 years","Both sexes","Total",35,8.3
2020,"Ontario","65 years and over","Both sexes","Total",35,3.3
2020,"Ontario","Total","Both sexes","Persons in economic families",35,3.8
2020,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,1.6
2020,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,5.4
2020,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,3.7
2020,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,3.7
2020,"Ontario","Total","Both sexes","Persons not in an economic family",35,23.6
2020,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,7.7
2020,"Ontario","","Both sexes","Non-seniors not in an economic family",35,30.7
2021,"Ontario","Total","Both sexes","Total",35,7.8
2021,"Ontario","Under 18 years","Both sexes","Total",35,6.8
2021,"Ontario","18 to 64 years","Both sexes","Total",35,8.9
2021,"Ontario","65 years and over","Both sexes","Total",35,5.2
2021,"Ontario","Total","Both sexes","Persons in economic families",35,4.8
2021,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,2.2
2021,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,6.4
2021,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,5.2
2021,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,3.3
2021,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,4.8
2021,"Ontario","Total","Both sexes","Persons not in an economic family",35,23.6
2021,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,12.8
2021,"Ontario","","Both sexes","Non-seniors not in an economic family",35,28.5
2022,"Ontario","Total","Both sexes","Total",35,11.1
2022,"Ontario","Under 18 years","Both sexes","Total",35,11.2
2022,"Ontario","18 to 64 years","Both sexes","Total",35,12.2
2022,"Ontario","65 years and over","Both sexes","Total",35,7
2022,"Ontario","Total","Both sexes","Persons in economic families",35,7.6
2022,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,3.9
2022,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,11.1
2022,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,8.4
2022,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,12.9
2022,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,7.2
2022,"Ontario","Total","Both sexes","Persons not in an economic family",35,29.2
2022,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,15
2022,"Ontario","","Both sexes","Non-seniors not in an economic family",35,35.6
2023,"Ontario","Total","Both sexes","Total",35,11.3
2023,"Ontario","Under 18 years","Both sexes","Total",35,12
2023,"Ontario","18 to 64 years","Both sexes","Total",35,12.8
2023,"Ontario","65 years and over","Both sexes","Total",35,5.4
2023,"Ontario","Total","Both sexes","Persons in economic families",35,8.1
2023,"Ontario","65 years and over","Both sexes","Seniors in economic families",35,3.4
2023,"Ontario","Under 18 years","Both sexes","Persons in economic families",35,11.9
2023,"Ontario","Under 18 years","Both sexes","Persons in couple families with children",35,9.4
2023,"Ontario","Under 18 years","Both sexes","Persons in all other economic families",35,10.2
2023,"Ontario","18 to 64 years","Both sexes","Persons in economic families",35,7.9
2023,"Ontario","Total","Both sexes","Persons not in an economic family",35,27.6
2023,"Ontario","65 years and over","Both sexes","Seniors not in an economic family",35,10.7
2023,"Ontario","","Both sexes","Non-seniors not in an economic family",35,35.3
2015,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,13.4
2015,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,14.2
2015,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,15
2015,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,8.4
2015,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,14.2
2015,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,7.7
2015,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,35.1
2015,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,16.5
2015,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,39.3
2016,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,10.7
2016,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,9.6
2016,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,12.5
2016,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,6.5
2016,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,9.6
2016,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,6
2016,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,27.7
2016,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,34.1
2017,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,10.9
2017,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,8.9
2017,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,12.6
2017,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,5.8
2017,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,6.8
2017,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,8.9
2017,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in couple families with children",,6
2017,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,7.4
2017,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,28
2017,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,19.5
2017,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,30.6
2018,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,11.3
2018,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,9.9
2018,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,13.2
2018,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,5.4
2018,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,8.1
2018,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,9.9
2018,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,8.8
2018,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,27.1
2018,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,15.2
2018,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,31.6
2019,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,8.5
2019,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,7.5
2019,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,9.4
2019,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,6.1
2019,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,5.1
2019,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,7.5
2019,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,5.1
2019,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,23.1
2019,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,18.5
2019,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,24.5
2020,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,5.6
2020,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,7.4
2020,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,3.4
2020,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,1.9
2020,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,2
2020,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,22.5
2020,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,5.9
2020,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,29.1
2021,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,6.6
2021,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,7.9
2021,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,4.1
2021,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,3.5
2021,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,3.6
2021,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,20.9
2021,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,11.8
2021,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,24.1
2022,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,9.1
2022,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,7
2022,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,10.8
2022,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,5.4
2022,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,5.1
2022,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors in economic families",,2.6
2022,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,6.9
2022,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in couple families with children",,4.4
2022,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,5
2022,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,27.3
2022,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,12.1
2022,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,33.3
2023,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Total",,8.5
2023,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Total",,6.5
2023,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Total",,10.4
2023,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Total",,3.9
2023,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons in economic families",,5.2
2023,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors in economic families",,1.7
2023,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in economic families",,6.5
2023,"Ottawa-Gatineau, Ontario/Quebec","Under 18 years","Both sexes","Persons in couple families with children",,5
2023,"Ottawa-Gatineau, Ontario/Quebec","18 to 64 years","Both sexes","Persons in economic families",,5.5
2023,"Ottawa-Gatineau, Ontario/Quebec","Total","Both sexes","Persons not in an economic family",,23.4
2023,"Ottawa-Gatineau, Ontario/Quebec","65 years and over","Both sexes","Seniors not in an economic family",,9.5
2023,"Ottawa-Gatineau, Ontario/Quebec","","Both sexes","Non-seniors not in an economic family",,28.5
2015,"Prairie provinces","Total","Both sexes","Total",,10.8
2015,"Prairie provinces","Under 18 years","Both sexes","Total",,14.4
2015,"Prairie provinces","18 to 64 years","Both sexes","Total",,10.8
2015,"Prairie provinces","65 years and over","Both sexes","Total",,4.3
2015,"Prairie provinces","Total","Both sexes","Persons in economic families",,8.7
2015,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,1.7
2015,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,14.3
2015,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,10.8
2015,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,25.3
2015,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,7.5
2015,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,23.1
2015,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,11.3
2015,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,26.7
2016,"Prairie provinces","Total","Both sexes","Total",,10.7
2016,"Prairie provinces","Under 18 years","Both sexes","Total",,12
2016,"Prairie provinces","18 to 64 years","Both sexes","Total",,11.4
2016,"Prairie provinces","65 years and over","Both sexes","Total",,4.9
2016,"Prairie provinces","Total","Both sexes","Persons in economic families",,8.3
2016,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,2.2
2016,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,11.9
2016,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,9.9
2016,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,7.9
2016,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,24.6
2016,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,11.3
2016,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,29.4
2017,"Prairie provinces","Total","Both sexes","Total",,9.6
2017,"Prairie provinces","Under 18 years","Both sexes","Total",,9.9
2017,"Prairie provinces","18 to 64 years","Both sexes","Total",,10.7
2017,"Prairie provinces","65 years and over","Both sexes","Total",,3.9
2017,"Prairie provinces","Total","Both sexes","Persons in economic families",,7.2
2017,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,2.1
2017,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,9.9
2017,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,7.5
2017,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,8.4
2017,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,7.1
2017,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,23.2
2017,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,8.3
2017,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,28.6
2018,"Prairie provinces","Total","Both sexes","Total",,10
2018,"Prairie provinces","Under 18 years","Both sexes","Total",,10.4
2018,"Prairie provinces","18 to 64 years","Both sexes","Total",,11.1
2018,"Prairie provinces","65 years and over","Both sexes","Total",,4.3
2018,"Prairie provinces","Total","Both sexes","Persons in economic families",,7.2
2018,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,2.8
2018,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,10.3
2018,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,7.8
2018,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,10.7
2018,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,6.7
2018,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,25.3
2018,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,8
2018,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,31.1
2019,"Prairie provinces","Total","Both sexes","Total",,9.6
2019,"Prairie provinces","Under 18 years","Both sexes","Total",,9.2
2019,"Prairie provinces","18 to 64 years","Both sexes","Total",,10.8
2019,"Prairie provinces","65 years and over","Both sexes","Total",,4.5
2019,"Prairie provinces","Total","Both sexes","Persons in economic families",,6.8
2019,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,3
2019,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,8.9
2019,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,7
2019,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,7.3
2019,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,6.7
2019,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,24.4
2019,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,8.4
2019,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,29.8
2020,"Prairie provinces","Total","Both sexes","Total",,6.3
2020,"Prairie provinces","Under 18 years","Both sexes","Total",,5.2
2020,"Prairie provinces","18 to 64 years","Both sexes","Total",,7.5
2020,"Prairie provinces","65 years and over","Both sexes","Total",,2.8
2020,"Prairie provinces","Total","Both sexes","Persons in economic families",,3.9
2020,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,1.2
2020,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,5.1
2020,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,2.8
2020,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,7.7
2020,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,3.9
2020,"Prairie provinces","Total","Both sexes","Persons not in an economic family",,19.3
2020,"Prairie provinces","65 years and over","Both sexes","Seniors not in an economic family",,6.7
2020,"Prairie provinces","","Both sexes","Non-seniors not in an economic family",,24.1
2021,"Prairie provinces","Total","Both sexes","Total",,8.7
2021,"Prairie provinces","Under 18 years","Both sexes","Total",,8.4
2021,"Prairie provinces","18 to 64 years","Both sexes","Total",,9.5
2021,"Prairie provinces","65 years and over","Both sexes","Total",,6
2021,"Prairie provinces","Total","Both sexes","Persons in economic families",,5.7
2021,"Prairie provinces","65 years and over","Both sexes","Seniors in economic families",,2.2
2021,"Prairie provinces","Under 18 years","Both sexes","Persons in economic families",,8.3
2021,"Prairie provinces","Under 18 years","Both sexes","Persons in couple families with children",,5
2021,"Prairie provinces","Under 18 years","Both sexes","Persons in all other economic families",,19.1
2021,"Prairie provinces","18 to 64 years","Both sexes","Persons in economic families",,5.3
