"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2016,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,13.1
2016,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,11.3
2016,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,8.6
2016,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,30
2016,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,21.5
2016,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,32.9
2017,"Montréal, Quebec","Total","Both sexes","Total",,14.1
2017,"Montréal, Quebec","Under 18 years","Both sexes","Total",,14.7
2017,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,15
2017,"Montréal, Quebec","65 years and over","Both sexes","Total",,9.3
2017,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,10.9
2017,"Montréal, Quebec","65 years and over","Both sexes","Seniors in economic families",,5.1
2017,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,14.6
2017,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,12.4
2017,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,10.6
2017,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,27.5
2017,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,17.2
2017,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,31.6
2018,"Montréal, Quebec","Total","Both sexes","Total",,11.4
2018,"Montréal, Quebec","Under 18 years","Both sexes","Total",,9.1
2018,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,13.2
2018,"Montréal, Quebec","65 years and over","Both sexes","Total",,7.1
2018,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,7.5
2018,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,9
2018,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,7.4
2018,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,7.9
2018,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,28.3
2018,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,15.7
2018,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,33.5
2019,"Montréal, Quebec","Total","Both sexes","Total",,10.4
2019,"Montréal, Quebec","Under 18 years","Both sexes","Total",,7.3
2019,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,12.3
2019,"Montréal, Quebec","65 years and over","Both sexes","Total",,7
2019,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,6.3
2019,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,7.3
2019,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,6.9
2019,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,6.6
2019,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,28
2019,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,13.8
2019,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,35.3
2020,"Montréal, Quebec","Total","Both sexes","Total",,5.4
2020,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,6.8
2020,"Montréal, Quebec","65 years and over","Both sexes","Total",,2.9
2020,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,2.5
2020,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,2.6
2020,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,18.5
2020,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,6.6
2020,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,23.4
2021,"Montréal, Quebec","Total","Both sexes","Total",,5.9
2021,"Montréal, Quebec","Under 18 years","Both sexes","Total",,4.1
2021,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,6.4
2021,"Montréal, Quebec","65 years and over","Both sexes","Total",,6.2
2021,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,3.2
2021,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,4.1
2021,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,2.9
2021,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,17
2021,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,11.9
2021,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,19.5
2022,"Montréal, Quebec","Total","Both sexes","Total",,7.8
2022,"Montréal, Quebec","Under 18 years","Both sexes","Total",,5.7
2022,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,9.4
2022,"Montréal, Quebec","65 years and over","Both sexes","Total",,4.1
2022,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,4.5
2022,"Montréal, Quebec","65 years and over","Both sexes","Seniors in economic families",,2
2022,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,5.7
2022,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,4.3
2022,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,4.6
2022,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,21
2022,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,8.2
2022,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,26.2
2023,"Montréal, Quebec","Total","Both sexes","Total",,8.6
2023,"Montréal, Quebec","Under 18 years","Both sexes","Total",,7.5
2023,"Montréal, Quebec","18 to 64 years","Both sexes","Total",,10.1
2023,"Montréal, Quebec","65 years and over","Both sexes","Total",,4.6
2023,"Montréal, Quebec","Total","Both sexes","Persons in economic families",,5.2
2023,"Montréal, Quebec","65 years and over","Both sexes","Seniors in economic families",,2
2023,"Montréal, Quebec","Under 18 years","Both sexes","Persons in economic families",,7.5
2023,"Montréal, Quebec","Under 18 years","Both sexes","Persons in couple families with children",,4.6
2023,"Montréal, Quebec","Under 18 years","Both sexes","Persons in all other economic families",,11.9
2023,"Montréal, Quebec","18 to 64 years","Both sexes","Persons in economic families",,5.1
2023,"Montréal, Quebec","Total","Both sexes","Persons not in an economic family",,22.8
2023,"Montréal, Quebec","65 years and over","Both sexes","Seniors not in an economic family",,10.3
2023,"Montréal, Quebec","","Both sexes","Non-seniors not in an economic family",,27.9
2015,"New Brunswick","Total","Both sexes","Total",13,16.2
2015,"New Brunswick","Under 18 years","Both sexes","Total",13,19.9
2015,"New Brunswick","18 to 64 years","Both sexes","Total",13,16.6
2015,"New Brunswick","65 years and over","Both sexes","Total",13,11.2
2015,"New Brunswick","Total","Both sexes","Persons in economic families",13,12.2
2015,"New Brunswick","65 years and over","Both sexes","Seniors in economic families",13,6.2
2015,"New Brunswick","Under 18 years","Both sexes","Persons in economic families",13,19.9
