Year,Géographie,data.Type of materials diverted,data.Sources of materials prepared for recycling,Value
2018,Québec,data.Mixed metals,data.Residential sources of diverted materials,
2018,Québec,data.Mixed metals,data.Non-residential sources of diverted materials,
2018,Québec,data.White goods,data.All sources of diverted materials,33.10148448
2018,Québec,data.White goods,data.Residential sources of diverted materials,
2018,Québec,data.White goods,data.Non-residential sources of diverted materials,33.10148448
2018,Québec,data.Electronics,data.All sources of diverted materials,2.545544743
2018,Québec,data.Electronics,data.Residential sources of diverted materials,
2018,Québec,data.Electronics,data.Non-residential sources of diverted materials,
2018,Québec,data.Plastics,data.All sources of diverted materials,9.878908388
2018,Québec,data.Plastics,data.Residential sources of diverted materials,7.022356565
2018,Québec,data.Plastics,data.Non-residential sources of diverted materials,2.856551823
2018,Québec,data.Gable top and aseptic containers,data.All sources of diverted materials,
2018,Québec,data.Gable top and aseptic containers,data.Residential sources of diverted materials,
2018,Québec,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,
2018,Québec,data.Textiles,data.All sources of diverted materials,6.598634711
2018,Québec,data.Textiles,data.Residential sources of diverted materials,6.598634711
2018,Québec,data.Textiles,data.Non-residential sources of diverted materials,
2018,Québec,data.Tires,data.All sources of diverted materials,10.93226187
2018,Québec,data.Tires,data.Residential sources of diverted materials,
2018,Québec,data.Tires,data.Non-residential sources of diverted materials,
2018,Québec,data.Construction + renovation and demolition,data.All sources of diverted materials,35.11178282
2018,Québec,data.Construction + renovation and demolition,data.Residential sources of diverted materials,
2018,Québec,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,35.11178282
2018,Québec,data.Organics,data.All sources of diverted materials,51.41793281
2018,Québec,data.Organics,data.Residential sources of diverted materials,45.34776019
2018,Québec,data.Organics,data.Non-residential sources of diverted materials,6.070172624
2018,Québec,data.Other materials,data.All sources of diverted materials,
2018,Québec,data.Other materials,data.Residential sources of diverted materials,
2018,Québec,data.Other materials,data.Non-residential sources of diverted materials,
2018,Ontario,data.All materials diverted,data.All sources of diverted materials,233.5106404
2018,Ontario,data.All materials diverted,data.Residential sources of diverted materials,
2018,Ontario,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Ontario,data.All paper fibres,data.All sources of diverted materials,92.16213049
2018,Ontario,data.All paper fibres,data.Residential sources of diverted materials,40.66967104
2018,Ontario,data.All paper fibres,data.Non-residential sources of diverted materials,51.49245945
2018,Ontario,data.Glass,data.All sources of diverted materials,7.977316174
2018,Ontario,data.Glass,data.Residential sources of diverted materials,5.865383829
2018,Ontario,data.Glass,data.Non-residential sources of diverted materials,2.111932344
2018,Ontario,data.Ferrous metals,data.All sources of diverted materials,8.083125948
2018,Ontario,data.Ferrous metals,data.Residential sources of diverted materials,2.694025878
2018,Ontario,data.Ferrous metals,data.Non-residential sources of diverted materials,5.38910007
2018,Ontario,data.Copper and aluminum,data.All sources of diverted materials,1.543956099
2018,Ontario,data.Copper and aluminum,data.Residential sources of diverted materials,0.828097765
2018,Ontario,data.Copper and aluminum,data.Non-residential sources of diverted materials,0.715858334
2018,Ontario,data.Mixed metals,data.All sources of diverted materials,2.753080871
2018,Ontario,data.Mixed metals,data.Residential sources of diverted materials,1.029304066
2018,Ontario,data.Mixed metals,data.Non-residential sources of diverted materials,1.723776805
2018,Ontario,data.White goods,data.All sources of diverted materials,0.797417123
2018,Ontario,data.White goods,data.Residential sources of diverted materials,0.70278936
2018,Ontario,data.White goods,data.Non-residential sources of diverted materials,0.094627764
2018,Ontario,data.Electronics,data.All sources of diverted materials,3.212521727
2018,Ontario,data.Electronics,data.Residential sources of diverted materials,
2018,Ontario,data.Electronics,data.Non-residential sources of diverted materials,
2018,Ontario,data.Plastics,data.All sources of diverted materials,8.779206101
2018,Ontario,data.Plastics,data.Residential sources of diverted materials,6.874490389
2018,Ontario,data.Plastics,data.Non-residential sources of diverted materials,1.904715712
2018,Ontario,data.Gable top and aseptic containers,data.All sources of diverted materials,0.628498877
2018,Ontario,data.Gable top and aseptic containers,data.Residential sources of diverted materials,0.513394057
2018,Ontario,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,0.115104821
2018,Ontario,data.Textiles,data.All sources of diverted materials,0.084773617
2018,Ontario,data.Textiles,data.Residential sources of diverted materials,0.084284404
2018,Ontario,data.Textiles,data.Non-residential sources of diverted materials,0.000489213
2018,Ontario,data.Tires,data.All sources of diverted materials,14.72558962
2018,Ontario,data.Tires,data.Residential sources of diverted materials,
2018,Ontario,data.Tires,data.Non-residential sources of diverted materials,
2018,Ontario,data.Construction + renovation and demolition,data.All sources of diverted materials,10.92426515
2018,Ontario,data.Construction + renovation and demolition,data.Residential sources of diverted materials,3.765052821
2018,Ontario,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,7.159212331
2018,Ontario,data.Organics,data.All sources of diverted materials,80.03307359
2018,Ontario,data.Organics,data.Residential sources of diverted materials,73.59887487
2018,Ontario,data.Organics,data.Non-residential sources of diverted materials,6.434198725
2018,Ontario,data.Other materials,data.All sources of diverted materials,1.805685032
2018,Ontario,data.Other materials,data.Residential sources of diverted materials,1.315493647
2018,Ontario,data.Other materials,data.Non-residential sources of diverted materials,0.490191385
2018,Manitoba,data.All materials diverted,data.All sources of diverted materials,163.8770721
2018,Manitoba,data.All materials diverted,data.Residential sources of diverted materials,
2018,Manitoba,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Manitoba,data.All paper fibres,data.All sources of diverted materials,64.80069484
2018,Manitoba,data.All paper fibres,data.Residential sources of diverted materials,39.68288581
2018,Manitoba,data.All paper fibres,data.Non-residential sources of diverted materials,25.11780903
2018,Manitoba,data.Glass,data.All sources of diverted materials,6.66383309
2018,Manitoba,data.Glass,data.Residential sources of diverted materials,6.29127936
2018,Manitoba,data.Glass,data.Non-residential sources of diverted materials,0.37255373
2018,Manitoba,data.Ferrous metals,data.All sources of diverted materials,
2018,Manitoba,data.Ferrous metals,data.Residential sources of diverted materials,
2018,Manitoba,data.Ferrous metals,data.Non-residential sources of diverted materials,
2018,Manitoba,data.Copper and aluminum,data.All sources of diverted materials,1.90046754
2018,Manitoba,data.Copper and aluminum,data.Residential sources of diverted materials,1.631400957
2018,Manitoba,data.Copper and aluminum,data.Non-residential sources of diverted materials,0.269066583
2018,Manitoba,data.Mixed metals,data.All sources of diverted materials,3.103875224
2018,Manitoba,data.Mixed metals,data.Residential sources of diverted materials,2.429730379
2018,Manitoba,data.Mixed metals,data.Non-residential sources of diverted materials,0.674144845
2018,Manitoba,data.White goods,data.All sources of diverted materials,2.197623492
2018,Manitoba,data.White goods,data.Residential sources of diverted materials,1.34828969
2018,Manitoba,data.White goods,data.Non-residential sources of diverted materials,0.849333801
