Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2024,Colombie-Britannique,Familles économiques et personnes hors famille économique,59,67600.0
2015,Dollars constants de 2024,Colombie-Britannique,Familles économiques,59,101200.0
2015,Dollars constants de 2024,Colombie-Britannique,Familles de personnes âgées,59,74400.0
2015,Dollars constants de 2024,Colombie-Britannique,Couples de personnes âgées,59,74400.0
2015,Dollars constants de 2024,Colombie-Britannique,Autres familles de personnes âgées,59,74400.0
2015,Dollars constants de 2024,Colombie-Britannique,Familles de personnes non âgées,59,113300.0
2015,Dollars constants de 2024,Colombie-Britannique,Couples,59,104700.0
2015,Dollars constants de 2024,Colombie-Britannique,Couples avec des enfants,59,122600.0
2015,Dollars constants de 2024,Colombie-Britannique,Couples avec d'autres personnes apparentées,59,152900.0
2015,Dollars constants de 2024,Colombie-Britannique,One-parent families,59,65500.0
2015,Dollars constants de 2024,Colombie-Britannique,One-parent families in which the parent is a man+,59,77200.0
2015,Dollars constants de 2024,Colombie-Britannique,One-parent families in which the parent is a woman+,59,60800.0
2015,Dollars constants de 2024,Colombie-Britannique,Autres familles de personnes non âgées,59,76000.0
2015,Dollars constants de 2024,Colombie-Britannique,Personnes hors famille économique,59,30400.0
2015,Dollars constants de 2024,Colombie-Britannique,Personnes âgées hors famille économique,59,31100.0
2015,Dollars constants de 2024,Colombie-Britannique,Senior men+ not in an economic family,59,28700.0
2015,Dollars constants de 2024,Colombie-Britannique,Senior women+ not in an economic family,59,31500.0
2015,Dollars constants de 2024,Colombie-Britannique,Personnes non âgées hors famille économique,59,30000.0
2015,Dollars constants de 2024,Colombie-Britannique,Non-senior men+ not in an economic family,59,30400.0
2015,Dollars constants de 2024,Colombie-Britannique,Non-senior women+ not in an economic family,59,29900.0
2015,Dollars constants de 2024,"Québec, Québec",Familles économiques et personnes hors famille économique,,60300.0
2015,Dollars constants de 2024,"Québec, Québec",Familles économiques,,91900.0
2015,Dollars constants de 2024,"Québec, Québec",Familles de personnes âgées,,73700.0
2015,Dollars constants de 2024,"Québec, Québec",Couples de personnes âgées,,72900.0
2015,Dollars constants de 2024,"Québec, Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2024,"Québec, Québec",Familles de personnes non âgées,,102700.0
2015,Dollars constants de 2024,"Québec, Québec",Couples,,94400.0
2015,Dollars constants de 2024,"Québec, Québec",Couples avec des enfants,,125900.0
2015,Dollars constants de 2024,"Québec, Québec",Couples avec d'autres personnes apparentées,,
2015,Dollars constants de 2024,"Québec, Québec",One-parent families,,76100.0
2015,Dollars constants de 2024,"Québec, Québec",One-parent families in which the parent is a man+,,
2015,Dollars constants de 2024,"Québec, Québec",One-parent families in which the parent is a woman+,,
2015,Dollars constants de 2024,"Québec, Québec",Autres familles de personnes non âgées,,
2015,Dollars constants de 2024,"Québec, Québec",Personnes hors famille économique,,35900.0
2015,Dollars constants de 2024,"Québec, Québec",Personnes âgées hors famille économique,,31600.0
2015,Dollars constants de 2024,"Québec, Québec",Senior men+ not in an economic family,,
2015,Dollars constants de 2024,"Québec, Québec",Senior women+ not in an economic family,,32900.0
2015,Dollars constants de 2024,"Québec, Québec",Personnes non âgées hors famille économique,,40100.0
2015,Dollars constants de 2024,"Québec, Québec",Non-senior men+ not in an economic family,,35900.0
2015,Dollars constants de 2024,"Québec, Québec",Non-senior women+ not in an economic family,,44100.0
2015,Dollars constants de 2024,"Montréal, Québec",Familles économiques et personnes hors famille économique,,63500.0
2015,Dollars constants de 2024,"Montréal, Québec",Familles économiques,,89500.0
2015,Dollars constants de 2024,"Montréal, Québec",Familles de personnes âgées,,66400.0
2015,Dollars constants de 2024,"Montréal, Québec",Couples de personnes âgées,,65000.0
2015,Dollars constants de 2024,"Montréal, Québec",Autres familles de personnes âgées,,
2015,Dollars constants de 2024,"Montréal, Québec",Familles de personnes non âgées,,94300.0
2015,Dollars constants de 2024,"Montréal, Québec",Couples,,89100.0
2015,Dollars constants de 2024,"Montréal, Québec",Couples avec des enfants,,104800.0
2015,Dollars constants de 2024,"Montréal, Québec",Couples avec d'autres personnes apparentées,,115000.0
2015,Dollars constants de 2024,"Montréal, Québec",One-parent families,,70500.0
2015,Dollars constants de 2024,"Montréal, Québec",One-parent families in which the parent is a man+,,
2015,Dollars constants de 2024,"Montréal, Québec",One-parent families in which the parent is a woman+,,63200.0
2015,Dollars constants de 2024,"Montréal, Québec",Autres familles de personnes non âgées,,86100.0
