Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2017,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,332
2017,Ontario,Gaz naturel comprimé,35,4
2017,Ontario,Électrique,35,252
2017,Ontario,Propane,35,75
2018,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,386
2018,Ontario,Gaz naturel comprimé,35,7
2018,Ontario,Électrique,35,300
2018,Ontario,Propane,35,78
2019,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,617
2019,Ontario,Gaz naturel comprimé,35,8
2019,Ontario,Électrique,35,523
2019,Ontario,Propane,35,85
2020,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,696
2020,Ontario,Électrique,35,595
2020,Ontario,Propane,35,92
2021,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,921
2021,Ontario,Gaz naturel comprimé,35,9
2021,Ontario,Électrique,35,818
2021,Ontario,Propane,35,93
2022,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,1576
2022,Ontario,Électrique,35,1459
2022,Ontario,Propane,35,107
2023,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,2465
2023,Ontario,Électrique,35,2344
2023,Ontario,Propane,35,111
2024,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,3307
2024,Ontario,Électrique,35,3169
2024,Ontario,Hydrogène,35,2
2024,Ontario,Propane,35,127
2025,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4034
2025,Ontario,Électrique,35,3894
2025,Ontario,Propane,35,129
2026,Ontario,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,35,4535
2026,Ontario,Électrique,35,4384
2026,Ontario,Propane,35,140
2013,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,1
2013,Île-du-Prince-Édouard,Électrique,11,1
2014,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,5
2014,Île-du-Prince-Édouard,Électrique,11,5
2015,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,10
2015,Île-du-Prince-Édouard,Électrique,11,10
2017,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,14
2017,Île-du-Prince-Édouard,Électrique,11,14
2018,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,15
2018,Île-du-Prince-Édouard,Électrique,11,15
2020,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,21
2020,Île-du-Prince-Édouard,Électrique,11,21
2021,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,51
2021,Île-du-Prince-Édouard,Électrique,11,51
2022,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,89
2022,Île-du-Prince-Édouard,Électrique,11,88
2022,Île-du-Prince-Édouard,Propane,11,1
2023,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,161
2023,Île-du-Prince-Édouard,Électrique,11,160
2024,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,187
2024,Île-du-Prince-Édouard,Électrique,11,185
2024,Île-du-Prince-Édouard,Propane,11,2
2025,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,202
2025,Île-du-Prince-Édouard,Électrique,11,200
2026,Île-du-Prince-Édouard,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,11,205
2026,Île-du-Prince-Édouard,Électrique,11,203
2010,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,9
2010,Québec,Électrique,24,2
2012,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,15
2012,Québec,Électrique,24,8
2013,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,32
2013,Québec,Gaz naturel comprimé,24,2
2013,Québec,Électrique,24,23
2014,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,64
2014,Québec,Électrique,24,54
2014,Québec,Propane,24,8
2015,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,131
2015,Québec,Gaz naturel comprimé,24,3
2015,Québec,Électrique,24,113
2015,Québec,Propane,24,15
2016,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,205
2016,Québec,Électrique,24,186
2016,Québec,Propane,24,16
2017,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,383
2017,Québec,Gaz naturel comprimé,24,4
2017,Québec,Électrique,24,239
2017,Québec,Propane,24,140
2018,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,410
2018,Québec,Gaz naturel comprimé,24,5
2018,Québec,Électrique,24,260
2018,Québec,Hydrogène,24,1
2018,Québec,Propane,24,144
2019,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,1786
2019,Québec,Gaz naturel comprimé,24,7
2019,Québec,Électrique,24,1630
2019,Québec,Propane,24,148
2020,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2120
2020,Québec,Électrique,24,1964
2021,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2467
2021,Québec,Électrique,24,2309
2021,Québec,Propane,24,150
2022,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,2965
2022,Québec,Gaz naturel comprimé,24,8
2022,Québec,Électrique,24,2806
2023,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,3686
2023,Québec,Gaz naturel comprimé,24,9
2023,Québec,Électrique,24,3525
2023,Québec,Propane,24,151
2024,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,4357
2024,Québec,Électrique,24,4195
2024,Québec,Propane,24,152
2025,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,5041
2025,Québec,Gaz naturel comprimé,24,10
2025,Québec,Électrique,24,4877
2025,Québec,Propane,24,153
2026,Québec,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,24,5348
2026,Québec,Électrique,24,5179
2026,Québec,Propane,24,158
2014,Saskatchewan,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,47,8
2014,Saskatchewan,Électrique,47,3
2014,Saskatchewan,Propane,47,5
